"Data Source","World Development Indicators",

"Last Updated Date","2018-05-02",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Burundi","BDI","Portfolio investment, net (BoP, current US$)","BN.KLT.PTXL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-56350973.90982","0","0","",
"Belgium","BEL","Portfolio investment, net (BoP, current US$)","BN.KLT.PTXL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-14442058960.6186","-582446281.994578","30487845885.8061","44706410414.3385","9180546565.77923","43022694522.865","-47807150448.8776","-40250509212.7526","27358206764.2223","23142755248.4087","-63187012065.3152","-39843849936.9851","-19249835507.564","-20917405818.7155","6076296351.63475","",
"Benin","BEN","Portfolio investment, net (BoP, current US$)","BN.KLT.PTXL.CD","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-286051.735805972","702803.031644955","4621603.87854039","-3796433.07752453","5563451.51540089","9068288.62957097","26391707.6254102","63902835.9999408","11648854.8335612","17162113.4746385","-26110608.8057744","-13779457.4645607","-3236062.88965438","1345086.22738129","1368746.26436508","8162418.166052","696593.946140781","-16651242.5806618","-14580501.4473773","-18290439.3095501","-8930221.22974455","-91529552.7341655","123359246.116508","207479615.671182","172288393.337998","152242438.464454","79062475.3023568","179886483.316507","-1109669.04755992","",
"Burkina Faso","BFA","Portfolio investment, net (BoP, current US$)","BN.KLT.PTXL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5283731.42118916","10157009.8618862","55843636.5138944","68791064.0115731","39295931.2104038","208222864.19142","96446849.3093696","-32615308.4313177","-14001496.7931465","72750631.4110729","399851704.430098","398605423.812287","",
"Bangladesh","BGD","Portfolio investment, net (BoP, current US$)","BN.KLT.PTXL.CD","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","-1267876.37525416","-1624686.98986763","7191558.36982505","0","64516.1290322581","0","-1704369.38332817","-280926.024903297","-2213918.75217054","-8729923.02192253","-8364969.87409752","-105861743.188208","15230807.241713","117042595.743109","9892244.72220706","4089360.45319831","1272619.05978124","-1292999.31062399","3369753.38448057","2557564.25454411","-1630080.79411755","-4292383.82373268","-19945975.0544314","515596583.886253","-130689764.23305","-73893139.1102759","-220395177.034922","401115456.174752","1179681792.28364","696224.521673352","-126534154.970468","-967895754.520535","-203400248.400617","-41561958.037626","",
"Bulgaria","BGR","Portfolio investment, net (BoP, current US$)","BN.KLT.PTXL.CD","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","0","0","231800000","65700000","129300000","-132800000","241447376.413768","199408612.445178","176870810.331277","-64754423.6811251","83757787.0609157","211758373.352711","520991698.298314","1304132497.5338","-363441387.448538","836524082.755663","1076810246.75011","821842165.468204","851470000","485420000","1192850000","159850000","-1647750000","-555550000","-730940000","",
"Bahrain","BHR","Portfolio investment, net (BoP, current US$)","BN.KLT.PTXL.CD","","","","","","","","","","","","","","","","-96080910.4831376","-139029615.766033","-195121951.71268","33294332.3065858","41402713.5313554","-112732025.306777","-53191489.5031689","15957446.8509507","47872340.552852","0","28457446.8085106","26063829.787234","1861702.12765957","0","-1063829.78723404","-697606382.978723","1063031914.89362","1398138297.87234","1335372378.90036","453989403.96178","113326517.256361","779892260.845844","1150855772.91314","1011889398.19257","1992989829.98587","-194224286.46685","1478677032.52889","4224794603.0178","2407292216.27273","3504906723.72385","4614338266.06153","8831229098.08633","8559873691.42128","-9276881140.83141","-8275589373.03625","-4755789476.08181","-5583244680.85106","-3842819148.93617","-3499734042.55319","29608510638.2979","","","",
"Bahamas, The","BHS","Portfolio investment, net (BoP, current US$)","BN.KLT.PTXL.CD","","","","","","","","","","","","","","","","","1500000.0015","-6900000.0069","2300000.0023","3200000.0032","2300000.0023","3000000.003","3200000.0032","0","0","0","0","0","0","0","","","","","","","","","","","","","","0","","","18800000","7210000","21863975","16720000","25393000","44203000","36958000","52797000","20638115","12403833.33","21696500","",
"Bosnia and Herzegovina","BIH","Portfolio investment, net (BoP, current US$)","BN.KLT.PTXL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","2836025.62936315","-2566375.55372431","388430.247340119","2701902.01491637","20715674.2126446","204150908.027423","121005146.359351","34933677.1753364","12622204.8639767","98103926.6253288","69960410.402103","61636693.7990985","91493930.141698","",
"Belarus","BLR","Portfolio investment, net (BoP, current US$)","BN.KLT.PTXL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","14500000","19800000","-14600000","20600000","-44400000","19900000","9100000.00000001","-6100000","-62799999.9999999","41500000","26400000","38800000","-5300000","-18800000","-1185600000","-854100000","191000000","59100000","19600000","952100000","-646100000","",
